from,coord,to,coord,distance_in_miles
The Disney Gallery,"(33.8101946, -117.9184302)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.19368736971477107
The Disney Gallery,"(33.8101946, -117.9184302)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.16552251685993838
The Disney Gallery,"(33.8101946, -117.9184302)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.23171826784096183
The Disney Gallery,"(33.8101946, -117.9184302)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.3410129867922527
The Disney Gallery,"(33.8101946, -117.9184302)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.34556699608369595
The Disney Gallery,"(33.8101946, -117.9184302)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.3517786848903414
The Disney Gallery,"(33.8101946, -117.9184302)",Minnie's House,"(33.81558355, -117.91901094992576)",0.3729162810594227
The Disney Gallery,"(33.8101946, -117.9184302)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.3540866026636271
The Disney Gallery,"(33.8101946, -117.9184302)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.2996000805990088
The Disney Gallery,"(33.8101946, -117.9184302)",It's a Small World,"(33.8153316, -117.91738182498915)",0.35915228568807567
The Disney Gallery,"(33.8101946, -117.9184302)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.2154355619724118
The Disney Gallery,"(33.8101946, -117.9184302)",Pixie Hollow,"(33.812503, -117.9182845)",0.15931988998404337
The Disney Gallery,"(33.8101946, -117.9184302)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.20321806119528596
The Disney Gallery,"(33.8101946, -117.9184302)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.24358340857183658
The Disney Gallery,"(33.8101946, -117.9184302)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.24754125004681257
The Disney Gallery,"(33.8101946, -117.9184302)",Alice in Wonderland,"(33.8131608, -117.918366)",0.20446939706129724
The Disney Gallery,"(33.8101946, -117.9184302)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.20017729284756378
The Disney Gallery,"(33.8101946, -117.9184302)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.22190751906735834
The Disney Gallery,"(33.8101946, -117.9184302)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.22635179877739173
