from,coord,to,coord,distance_in_miles
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",It's a Small World,"(33.8153316, -117.91738182498915)",0.16204313147633687
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.014643008716194759
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Pixie Hollow,"(33.812503, -117.9182845)",0.07206413613293294
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.021936919585712224
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.04578467476697938
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.028284640569283877
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Alice in Wonderland,"(33.8131608, -117.918366)",0.037440055401019016
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.06758882502837966
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.03975311817317878
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.03784390353759024
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.10071068067042918
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Disneyland Monorail,"(33.812807, -117.9166715)",0.13749756939627128
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.10943788386367452
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.728660709351
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.18778368332626497
King Arthur Carrousel,"(33.81338385, -117.91895939541396)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.24571379343133942
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.18100178711543666
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.21985042725817142
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",The Disney Gallery,"(33.8101946, -117.9184302)",0.22635179877739173
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.198620709772
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.14612931334352114
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.0397117237476
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.27014697496906526
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.19918660018177353
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2173.9669690212813
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.28113163111202116
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.22724438954934295
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.173784794595
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.9215856417895
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.13122924338152528
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.16213118858928058
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.1178439554107973
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.22510157138728235
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.11782931661486608
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.1258748930152604
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.13896327241848164
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Minnie's House,"(33.81558355, -117.91901094992576)",0.15124358895844306
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.12815639155949637
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.09182894755429691
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",It's a Small World,"(33.8153316, -117.91738182498915)",0.1378590053673158
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.027914586103227355
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Pixie Hollow,"(33.812503, -117.9182845)",0.06708293087548603
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.054499023531015156
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.017244262535618286
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.05776403512043267
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Alice in Wonderland,"(33.8131608, -117.918366)",0.022335114144023754
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.03782175792728668
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.03975311817317878
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.06475447829434158
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.0823630430476043
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Disneyland Monorail,"(33.812807, -117.9166715)",0.10326119626204124
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.07740974354893969
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.6894129952652
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.21482829584368857
Mad Tea Party,"(33.813476300000005, -117.91827733666166)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.2820714616056477
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.11959364124219628
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.182311598766741
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",The Disney Gallery,"(33.8101946, -117.9184302)",0.1872882448357107
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.247068725805
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.08641905730118586
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.0881596854906
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.20735455993127808
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.135281922306068
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2174.0154161194596
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.21839509300940618
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.1698852720658085
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.2222367742565
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.970034716202
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.07166887206309551
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.09931578927621897
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.05311295434073204
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.16371612060923632
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.15855111946929795
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.16059644205601628
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.16479608927197673
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Minnie's House,"(33.81558355, -117.91901094992576)",0.18844546467455128
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.18245869647587135
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.11267985606198994
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",It's a Small World,"(33.8153316, -117.91738182498915)",0.1979946976581473
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.03908209432588029
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Pixie Hollow,"(33.812503, -117.9182845)",0.053568617899479
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.016443540102554544
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.07730367341234291
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.060473895626718316
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Alice in Wonderland,"(33.8131608, -117.918366)",0.04821008993071554
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.07423284117042862
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.03784390353759024
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.06475447829434158
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",0.0888908747127396
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Disneyland Monorail,"(33.812807, -117.9166715)",0.14073556566763623
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.11167019323688508
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.737789412817
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.2084201440299908
Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.25027525301193526
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Disneyland Railroad,"(48.872951, 2.7809789)",0.12562648395089868
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Main Street Vehicles,"(48.8711858, 2.7782974)",0.16433139317753917
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Main Street Cinema,"(28.4172281, -81.5810162)",4531.867167998688
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Jungle Cruise,"(28.41794735, -81.58349665864117)",4531.941545855391
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",4532.011545394127
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Disneyland Railroad,"(48.872951, 2.7809789)",0.12562648395089868
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",4531.708504953791
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Splash Mountain,"(28.4192429, -81.58504252640626)",4531.947412170972
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",0.15067366357794884
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",0.17580147156435383
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Autopia,"(48.8732257, 2.7789328)",0.03420809361693643
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",0.12439614619040729
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Space Mountain,"(48.87407195, 2.779286235777686)",0.05410671646644668
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Disneyland Railroad,"(48.872951, 2.7809789)",0.12562648395089868
Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4533.809467492996
Autopia,"(48.8732257, 2.7789328)",Disneyland Railroad,"(48.872951, 2.7809789)",0.09517791500895868
Autopia,"(48.8732257, 2.7789328)",Main Street Vehicles,"(48.8711858, 2.7782974)",0.1439039693629913
Autopia,"(48.8732257, 2.7789328)",Main Street Cinema,"(28.4172281, -81.5810162)",4531.89761941072
Autopia,"(48.8732257, 2.7789328)",Jungle Cruise,"(28.41794735, -81.58349665864117)",4531.9719978742905
Autopia,"(48.8732257, 2.7789328)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",4532.041997611794
Autopia,"(48.8732257, 2.7789328)",Disneyland Railroad,"(48.872951, 2.7809789)",0.09517791500895868
Autopia,"(48.8732257, 2.7789328)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",4531.738956835001
Autopia,"(48.8732257, 2.7789328)",Splash Mountain,"(28.4192429, -81.58504252640626)",4531.977864749582
Autopia,"(48.8732257, 2.7789328)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",0.17676304292319778
Autopia,"(48.8732257, 2.7789328)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",0.2053025238070068
Autopia,"(48.8732257, 2.7789328)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",0.03420809361693643
Autopia,"(48.8732257, 2.7789328)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",0.1398048734305747
Autopia,"(48.8732257, 2.7789328)",Space Mountain,"(48.87407195, 2.779286235777686)",0.060655310133418516
Autopia,"(48.8732257, 2.7789328)",Disneyland Railroad,"(48.872951, 2.7809789)",0.09517791500895868
Autopia,"(48.8732257, 2.7789328)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4533.839902561289
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Disneyland Railroad,"(48.872951, 2.7809789)",0.17150196034203816
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Main Street Vehicles,"(48.8711858, 2.7782974)",0.2836718997595538
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Main Street Cinema,"(28.4172281, -81.5810162)",4531.882707727347
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Jungle Cruise,"(28.41794735, -81.58349665864117)",4531.957080777995
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",4532.027078742479
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Disneyland Railroad,"(48.872951, 2.7809789)",0.17150196034203816
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",4531.7240409669985
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Splash Mountain,"(28.4192429, -81.58504252640626)",4531.962942660662
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",0.23167028251462948
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",0.23741702762942937
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",0.12439614619040729
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Autopia,"(48.8732257, 2.7789328)",0.1398048734305747
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Space Mountain,"(48.87407195, 2.779286235777686)",0.0796666476836788
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Disneyland Railroad,"(48.872951, 2.7809789)",0.17150196034203816
Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4533.825136506557
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.19642949844365443
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.1501263996959494
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",The Disney Gallery,"(33.8101946, -117.9184302)",0.15766778970394657
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.164059752843
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.12121092472955235
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2174.0051506723917
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.24107182897450444
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Tarzan's Treehouse,"(33.8112825, -117.9205312)",0.1813964682732144
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",2173.932406467283
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",The Haunted Mansion,"(33.8114902, -117.92254555280647)",0.28716755916755027
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Davy Crockett Explorer Canoes,"(33.8124488, -117.9220306)",0.25074589289094984
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",2174.1392307352976
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Splash Mountain,"(28.4192429, -81.58504252640626)",2173.887026526663
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Big Thunder Mountain Railroad,"(33.81267065, -117.9203441087029)",0.15487647419520556
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Mark Twain Riverboat,"(33.81227165, -117.92069793597835)",0.17424820238826333
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Frontierland Shootin' Exposition,"(33.8123151, -117.91978086035994)",0.12140564555669409
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Sailing Ship Columbia,"(33.812044, -117.92179372651171)",0.23830721438804986
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Goofy's Playhouse,"(33.81513385, -117.91877890830746)",0.19933047555614036
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Donald's Boat,"(33.8151805, -117.91906404856115)",0.20812196273961503
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Gadget's Go Coaster,"(33.815221949999994, -117.91948605596161)",0.2211260941866682
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Minnie's House,"(33.81558355, -117.91901094992576)",0.23298085159997706
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Roger Rabbit's Car Toon Spin,"(33.81531745, -117.91796562554202)",0.20225514911321366
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Fantasyland Theatre,"(33.81447575, -117.9193328753469)",0.17241337165616907
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",It's a Small World,"(33.8153316, -117.91738182498915)",0.20321699791160033
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Mr. Toad's Wild Ride,"(33.813311, -117.9187203)",0.0873775909812301
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Pixie Hollow,"(33.812503, -117.9182845)",0.036004932192401175
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Snow White's Enchanted Wish,"(33.8130891, -117.9191033)",0.0952641429326951
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Storybook Land Canal Boats,"(33.8137265, -117.9182776)",0.09826935673237965
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Casey Jr. Circus Train,"(33.8137225, -117.9192371)",0.12843509358427832
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Alice in Wonderland,"(33.8131608, -117.918366)",0.06626194526964972
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Matterhorn Bobsleds,"(33.8130585, -117.91785110332171)",0.046995463962435
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",King Arthur Carrousel,"(33.81338385, -117.91895939541396)",0.10071068067042918
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Mad Tea Party,"(33.813476300000005, -117.91827733666166)",0.0823630430476043
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Sleeping Beauty Castle Walkthrough,"(33.8128508, -117.9191172)",0.0888908747127396
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Disneyland Monorail,"(33.812807, -117.9166715)",0.06427558162146867
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Finding Nemo Submarine Voyage,"(33.8128307, -117.9171763)",0.041534630578231396
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",2176.6547276136944
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Millennium Falcon: Smuggler's Run,"(33.81521425, -117.92137720212553)",0.28849204745886325
Buzz Lightyear Astro Blasters,"(33.812393099999994, -117.91767267135417)",Star Wars: Rise of the Resistance,"(33.8143927, -117.92305586611414)",0.33897783688366123
Space Mountain,"(48.87407195, 2.779286235777686)",Disneyland Railroad,"(48.872951, 2.7809789)",0.10932851156472574
Space Mountain,"(48.87407195, 2.779286235777686)",Main Street Vehicles,"(48.8711858, 2.7782974)",0.2044658808225752
Space Mountain,"(48.87407195, 2.779286235777686)",Main Street Cinema,"(28.4172281, -81.5810162)",4531.89710868515
Space Mountain,"(48.87407195, 2.779286235777686)",Jungle Cruise,"(28.41794735, -81.58349665864117)",4531.971484786907
Space Mountain,"(48.87407195, 2.779286235777686)",Pirates of the Caribbean,"(28.4177231, -81.58484892224214)",4532.041483750797
Space Mountain,"(48.87407195, 2.779286235777686)",Disneyland Railroad,"(48.872951, 2.7809789)",0.10932851156472574
Space Mountain,"(48.87407195, 2.779286235777686)",The Many Adventures of Winnie the Pooh,"(28.4199622, -81.58037704880905)",4531.738444283519
Space Mountain,"(48.87407195, 2.779286235777686)",Splash Mountain,"(28.4192429, -81.58504252640626)",4531.9773494837555
Space Mountain,"(48.87407195, 2.779286235777686)",Pinocchio's Daring Journey,"(48.8735117, 2.7750792)",0.19563228287830572
Space Mountain,"(48.87407195, 2.779286235777686)",Dumbo the Flying Elephant,"(48.87399895, 2.774583969325409)",0.21439519353830452
Space Mountain,"(48.87407195, 2.779286235777686)",Astro Orbiter,"(48.873563250000004, 2.7783838393354188)",0.05410671646644668
Space Mountain,"(48.87407195, 2.779286235777686)",Autopia,"(48.8732257, 2.7789328)",0.060655310133418516
Space Mountain,"(48.87407195, 2.779286235777686)",Star Tours – The Adventures Continue,"(48.8752196, 2.7794528638234173)",0.0796666476836788
Space Mountain,"(48.87407195, 2.779286235777686)",Disneyland Railroad,"(48.872951, 2.7809789)",0.10932851156472574
Space Mountain,"(48.87407195, 2.779286235777686)",Star Wars Launch Bay,"(28.358144000000003, -81.56091740985298)",4533.839455374963
Disneyland Monorail,"(33.812807, -117.9166715)",Pirate's Lair on Tom Sawyer Island,"(33.812290933610335, -117.92108479121391)",0.2563804178354771
Disneyland Monorail,"(33.812807, -117.9166715)",Great Moments with Mr. Lincoln,"(33.81028685, -117.91833786393963)",0.19839411963142947
Disneyland Monorail,"(33.812807, -117.9166715)",The Disney Gallery,"(33.8101946, -117.9184302)",0.20653362890155866
Disneyland Monorail,"(33.812807, -117.9166715)",Main Street Cinema,"(28.4172281, -81.5810162)",2174.1063753194494
Disneyland Monorail,"(33.812807, -117.9166715)",Walt Disney's Enchanted Tiki Room,"(33.81166005, -117.91958778938547)",0.18546769839562635
Disneyland Monorail,"(33.812807, -117.9166715)",Jungle Cruise,"(28.41794735, -81.58349665864117)",2173.947466274784
Disneyland Monorail,"(33.812807, -117.9166715)",Indiana Jones Adventure: Temple of the Forbidden Eye,"(33.81030155, -117.92103122363523)",0.3045165123769571
